,date,weekday,hour,region_id,region_mean
0,2019-04-01,0,0,241,13.070668112387182
1,2019-04-01,0,1,241,10.947044234381849
2,2019-04-01,0,2,241,10.047705647746705
3,2019-04-01,0,3,241,10.236039995775613
4,2019-04-01,0,4,241,9.320084115048322
5,2019-04-01,0,5,241,9.824544731711725
6,2019-04-01,0,6,241,10.181342717583867
7,2019-04-01,0,7,241,9.873131051418072
8,2019-04-01,0,8,241,11.141322031856676
9,2019-04-01,0,9,241,10.802015859028922
10,2019-04-01,0,10,241,11.273625695821655
11,2019-04-01,0,11,241,11.9747392839647
12,2019-04-01,0,12,241,11.701002548877934
13,2019-04-01,0,13,241,11.610796249338568
14,2019-04-01,0,14,241,11.994462541454935
15,2019-04-01,0,15,241,11.317975572834865
16,2019-04-01,0,16,241,10.596830098899442
17,2019-04-01,0,17,241,11.61115650516074
18,2019-04-01,0,18,241,11.889068862447889
19,2019-04-01,0,19,241,12.210057115835667
20,2019-04-01,0,20,241,13.158650791396633
21,2019-04-01,0,21,241,14.55568721209361
22,2019-04-01,0,22,241,15.775543455951908
23,2019-04-01,0,23,241,13.840202605466915
24,2019-04-02,1,0,241,13.070668112387182
25,2019-04-02,1,1,241,10.947044234381849
26,2019-04-02,1,2,241,10.047705647746705
27,2019-04-02,1,3,241,10.236039995775613
28,2019-04-02,1,4,241,9.320084115048322
29,2019-04-02,1,5,241,9.824544731711725
30,2019-04-02,1,6,241,10.181342717583867
31,2019-04-02,1,7,241,9.873131051418072
32,2019-04-02,1,8,241,11.141322031856676
33,2019-04-02,1,9,241,10.802015859028922
34,2019-04-02,1,10,241,11.273625695821655
35,2019-04-02,1,11,241,11.9747392839647
36,2019-04-02,1,12,241,11.701002548877934
37,2019-04-02,1,13,241,11.610796249338568
38,2019-04-02,1,14,241,11.994462541454935
39,2019-04-02,1,15,241,11.317975572834865
40,2019-04-02,1,16,241,10.596830098899442
41,2019-04-02,1,17,241,11.61115650516074
42,2019-04-02,1,18,241,11.889068862447889
43,2019-04-02,1,19,241,12.210057115835667
44,2019-04-02,1,20,241,13.158650791396633
45,2019-04-02,1,21,241,14.55568721209361
46,2019-04-02,1,22,241,15.775543455951908
47,2019-04-02,1,23,241,13.840202605466915
